module,function,priority,description
Connectors,API credentials/account setup,MVP,"Per-channel auth: OAuth/HMAC/JWT/API key/vendor code/IP allowlist"
Connectors,Scheduled polling and reconciliation,MVP,"Near-real-time incremental sync plus nightly backfill"
Connectors,Raw payload capture,MVP,"Store original JSON/XML/CSV for replay/debugging"
Orders,Unified order inbox,MVP,"All channels in one order queue with filters"
Orders,Order timeline/status history,MVP,"Append-only lifecycle history"
Order Items,Order-item normalization,MVP,"One row per purchased product/order line"
Fulfillment,Unshipped/overdue queue,MVP,"Daily operational SLA queue"
Fulfillment,Tracking/invoice status,MVP,"Read first, write later"
Inventory,Low-stock/out-of-stock alerts,MVP,"Stockout prevention"
Inventory,Multi-location stock states,Phase 2,"Available/on-hand/committed/incoming by location"
Product,Channel listing health,MVP,"Rejected listings, missing attrs, stock/price mismatch"
Product,Bulk product update,Phase 2,"Marketplace-specific write actions"
Claims,Cancel/return/exchange/refund queue,MVP,"Claims and reverse logistics exception handling"
Settlement,Estimated profit and settlement mismatch,MVP,"Manager-facing finance control"
CS,Unified inquiry/Q&A queue,MVP,"Link CS to order/customer/SKU"
CS,AI reply drafts,MVP,"Human-approved CS assistance"
Automation,Operational task system,MVP,"Persisted workflow objects for actionability"
Automation,Rules engine,Phase 2,"If/then automations and approval flows"
AI,Daily manager briefing,MVP,"Executive operational summary"
AI,Root-cause analysis,Phase 3,"Detect causes across CS/returns/SKU/channel/supplier"
Finance,Fee/COGS/ad-spend joins,Phase 2,"Real margin/profit"
ERP,Purchasing/replenishment,Phase 2,"PO and reorder workflows"
Audit,Permissions and action logs,Phase 2,"Required before write actions"
